"strain"	"isotype"	"latitude"	"longitude"	"substrate"	"abz_hta_2018_pheno"	"abz_hta_2018"	"abz_hta_2024_pheno"	"abz_hta_2024"	"abz_hta_norm_pheno"	"abz_hta_norm_res"	"abz_hta_2018_res"	"abz_hta_2024_res"	"ben-1_high_impact_SNV"	"tbb-2_high_impact_SNV"	"tbb-1_high_impact_SNV"	"mec-7_high_impact_SNV"	"tbb-4_high_impact_SNV"	"ben-1_SVs"	"ben-1_SV_ids"	"tbb-2_SVs"	"tbb-2_SV_ids"	"tbb-1_SVs"	"tbb-1_SV_ids"	"mec-7_SVs"	"mec-7_SV_ids"	"tbb-4_SVs"	"tbb-4_SV_ids"	"ben-1_var"	"tbb-2_var"	"tbb-1_var"	"mec-7_var"	"tbb-4_var"	"ben-1_exp"	"tbb-1_exp"	"tbb-2_exp"	"tbb-4_exp"	"mec-7_exp"	"low_ben1_exp"	"tbb-1_clean_call"	"tbb-2_clean_call"	"ben-1_clean_call"	"mec-7_clean_call"	"tbb-4_clean_call"
"CX11271"	"CX11271"	34.13712	-118.12532	"Soil"	145.119797542548	TRUE	178.091484300839	TRUE	165.377531559041	TRUE	TRUE	TRUE	"stop_gained_S371*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"stop_gained_S371* | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	2.836152	8.00418	9.449796	0.405314645554883	3.750583	TRUE	"No variant"	"No variant"	"Start/stop altering"	"No variant"	"No variant"
"CX11276"	"CX11276"	34.20111	-118.21198	"Soil"	-35.9533791528382	TRUE	-76.6715753712476	TRUE	-52.540586624695	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.005111	7.83117	9.757839	-0.561679135025868	2.426348	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11285"	"CX11285"	34.14331	-118.05496	"Soil"	-3.15882282283879	TRUE	NA	FALSE	7.31785035703108	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.299901	8.285534	9.681823	-0.307297148002415	3.872813	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11292"	"CX11292"	34.13531	-118.30582	"Soil"	-22.9960992602319	TRUE	-24.0844677392211	TRUE	-19.7683928623785	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.430846	7.906675	9.881501	-0.557419624790688	3.558445	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11307"	"CX11307"	34.12946	-118.10987	"Soil"	-84.5841580923576	TRUE	NA	FALSE	-74.1074849124877	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.489894	7.403151	9.89645	0.227877256186939	3.513684	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11314"	"CX11314"	34.12946	-118.10987	"Soil"	22.026721472516	TRUE	4.77634710819393	TRUE	17.1734249277029	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.126333	8.054562	10.15676	-0.517881488229862	2.140711	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"CX11315"	"CX11315"	34.12946	-118.10987	"Soil"	-22.7174710411279	TRUE	NA	FALSE	-12.240797861258	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.277107	8.262826	10.00235	-0.537567680488236	3.379194	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"DL200"	"DL200"	9.03	38.74	"Soil"	-19.4020722845734	TRUE	NA	FALSE	-8.92539910470353	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.217522	8.211921	9.878892	-1	3.283746	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"DL226"	"DL226"	44.5633	-123.2821	"Soil"	-34.6645978397272	TRUE	-30.9486223338407	TRUE	-29.034719449436	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.504293	7.888527	9.794625	0.283644153873668	3.58614	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"DL238"	"DL238"	19.11	-155.81	"Vegetal_litter/mix"	-33.3263855487293	TRUE	11.744138025472	TRUE	-7.0192331242807	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.572686	8.225446	9.797262	-0.546123198624071	2.506884	TRUE	"No variant"	"No variant"	"Low ben-1 expression"	"No variant"	"No variant"
"ECA1069"	"ECA1069"	-34.89411879	-56.15794301	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-65.895790206344	TRUE	-68.828682111518	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1074"	"ECA1074"	-34.89623486	-56.15625241	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-26.1591260487527	TRUE	-29.0920179539267	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1185"	"ECA1185"	19.44006389	-155.3020167	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1186"	"ECA1186"	19.11456944	-155.8201944	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1187"	"ECA1187"	19.44189167	-155.3012944	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1191"	"ECA1191"	19.44285556	-155.3017222	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1192"	"ECA1192"	19.43996944	-155.3050667	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1193"	"ECA1193"	19.43996944	-155.3050667	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1194"	"ECA1194"	19.43961111	-155.3040139	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1195"	"ECA1195"	19.43961111	-155.3040139	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1196"	"ECA1196"	19.44285556	-155.3017222	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1200"	"ECA1200"	20.03956944	-155.4403861	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1202"	"ECA1202"	19.71897222	-155.9490944	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1206"	"ECA1206"	19.71897222	-155.9490944	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	"missense_A9T"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"missense_A9T | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"Missense"	"No variant"
"ECA1208"	"ECA1208"	19.71895278	-155.9515361	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1212"	"ECA1212"	19.71876389	-155.9488722	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1216"	"ECA1216"	19.720575	-155.9476528	"Fungus"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1223"	"ECA1223"	19.7188	-155.9544833	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1225"	"ECA1225"	19.7188	-155.9544833	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	"missense_A9T"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"missense_A9T | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"Missense"	"No variant"
"ECA1228"	"ECA1228"	19.72135556	-155.9473333	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1229"	"ECA1229"	19.10540278	-155.697525	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1232"	"ECA1232"	19.44023611	-155.3014944	"Soil"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1237"	"ECA1237"	19.44180278	-155.3046194	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1238"	"ECA1238"	19.438925	-155.3033667	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1240"	"ECA1240"	19.44179722	-155.304625	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1242"	"ECA1242"	19.43860278	-155.3033389	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1243"	"ECA1243"	19.12013889	-155.8196139	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1247"	"ECA1247"	19.7205	-155.9477056	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1251"	"ECA1251"	19.43866111	-155.3034417	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1252"	"ECA1252"	19.438925	-155.3033667	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1253"	"ECA1253"	19.438925	-155.3033667	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1255"	"ECA1255"	20.04141111	-155.4438278	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1257"	"ECA1257"	20.04141111	-155.4438278	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1260"	"ECA1260"	19.12068611	-155.8196833	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1261"	"ECA1261"	19.11523611	-155.8191083	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1269"	"ECA1269"	19.12068611	-155.8196833	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1271"	"ECA1271"	19.12069167	-155.8196556	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1276"	"ECA1276"	20.04086389	-155.4437722	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1278"	"ECA1278"	20.04086389	-155.4437722	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA1281"	"ECA1281"	19.72010278	-155.9486167	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
